,PM2.5,PM10,NO2,SO2,NH3,CO,Ozone,SO2i,NOi,PM25i,PM10i,Ozonei,NH3i,COi,AQI,AQI_Range
3527,57.56,142.96,53.18,16.4,47.46,0.64,72.46,20.5,66.475,95.93333333333334,162.96,72.46,11.865,32.0,162.96,Moderately Polluted
3528,103.33,198.17,69.42,19.89,48.17,0.89,63.19,24.8625,86.775,244.43333333333334,218.17,63.19,12.0425,44.5,244.43333333333334,Poor
3529,41.27,112.62,62.79,7.71,50.17,0.76,48.14,9.6375,78.4875,68.78333333333333,132.62,48.14,12.5425,38.0,132.62,Moderately Polluted
3530,34.29,96.06,54.34,5.52,50.86,0.64,60.12,6.8999999999999995,67.92500000000001,57.15,120.075,60.12,12.715,32.0,120.075,Moderately Polluted
3531,37.62,84.92,50.15,7.87,51.18,0.57,52.09,9.8375,62.6875,62.699999999999996,106.15,52.09,12.795,28.499999999999996,106.15,Moderately Polluted
3532,46.79,128.06,63.32,9.88,52.29,0.75,64.38,12.350000000000001,79.15,77.98333333333333,148.06,64.38,13.0725,37.5,148.06,Moderately Polluted
3533,64.29,199.25,68.45,9.81,58.24,0.9,47.33,12.262500000000001,85.5625,114.30000000000003,219.25,47.33,14.56,45.0,219.25,Poor
3534,47.96,175.9,61.76,4.59,52.48,0.73,45.52,5.7375,77.19999999999999,79.93333333333334,195.9,45.52,13.12,36.5,195.9,Moderately Polluted
3535,44.08,157.92,52.71,9.69,56.42,0.65,43.55,12.112499999999999,65.8875,73.46666666666667,177.92,43.55,14.105,32.5,177.92,Moderately Polluted
3536,64.58,233.98,48.68,9.64,56.43,0.87,38.87,12.05,60.85,115.26666666666667,253.98,38.87,14.1075,43.5,253.98,Poor
3537,49.08,160.29,28.86,8.84,54.28,0.79,47.12,11.05,36.075,81.8,180.29,47.12,13.57,39.5,180.29,Moderately Polluted
3538,76.25,173.44,29.04,12.35,57.13,0.95,48.99,15.4375,36.3,154.16666666666669,193.44,48.99,14.2825,47.5,193.44,Moderately Polluted
3539,47.44,165.75,28.37,9.93,43.43,0.77,59.84,12.4125,35.4625,79.06666666666666,185.75,59.84,10.8575,38.5,185.75,Moderately Polluted
3540,38.25,134.71,28.76,11.07,39.39,0.86,59.65,13.8375,35.95,63.75,154.71,59.65,9.8475,43.0,154.71,Moderately Polluted
3541,28.71,102.33,22.11,10.36,42.23,0.72,61.7,12.95,27.6375,47.85,122.33,61.7,10.5575,36.0,122.33,Moderately Polluted
3542,31.48,125.65,19.58,9.73,39.57,0.69,18.52,12.162500000000001,24.474999999999998,52.46666666666667,145.65,18.52,9.8925,34.5,145.65,Moderately Polluted
3543,55.67,295.17,18.17,11.67,44.36,0.74,14.14,14.5875,22.712500000000002,92.78333333333333,315.17,14.14,11.09,37.0,315.17,Very poor
3544,30.41,135.43,20.93,7.91,40.22,0.6,24.96,9.8875,26.1625,50.68333333333334,155.43,24.96,10.055,30.0,155.43,Moderately Polluted
3545,35.86,102.02,25.65,7.39,38.29,0.72,14.59,9.237499999999999,32.0625,59.766666666666666,122.02,14.59,9.5725,36.0,122.02,Moderately Polluted
3546,38.75,93.51,25.63,9.86,50.76,0.79,14.21,12.325,32.0375,64.58333333333333,116.8875,14.21,12.69,39.5,116.8875,Moderately Polluted
3547,25.06,76.03,20.46,10.04,48.6,0.67,13.39,12.549999999999999,25.575,41.766666666666666,95.0375,13.39,12.15,33.5,95.0375,Satisfactory
3548,26.44,69.01,20.77,11.42,44.39,0.75,13.65,14.275,25.9625,44.06666666666667,86.2625,13.65,11.0975,37.5,86.2625,Satisfactory
3549,41.24,94.59,20.53,7.68,42.36,0.74,13.04,9.6,25.6625,68.73333333333333,118.23750000000001,13.04,10.59,37.0,118.23750000000001,Moderately Polluted
3550,55.98,160.09,21.63,9.93,41.45,0.78,13.88,12.4125,27.0375,93.3,180.09,13.88,10.3625,39.0,180.09,Moderately Polluted
3551,42.18,238.47,18.9,5.81,37.0,0.58,10.69,7.262499999999999,23.624999999999996,70.3,258.47,10.69,9.25,28.999999999999996,258.47,Poor
3552,54.41,423.75,17.53,7.81,33.34,0.61,11.02,9.7625,21.9125,90.68333333333334,419.7916666666667,11.02,8.335,30.5,419.7916666666667,Severe
3553,35.47,236.21,16.08,11.37,29.28,0.67,11.32,14.212499999999999,20.099999999999998,59.11666666666667,256.21000000000004,11.32,7.32,33.5,256.21000000000004,Poor
3554,41.15,107.18,17.65,13.82,35.3,0.79,11.66,17.275,22.062499999999996,68.58333333333333,127.18,11.66,8.825,39.5,127.18,Moderately Polluted
3555,49.83,140.51,19.95,14.32,37.3,0.78,12.2,17.9,24.9375,83.05,160.51,12.2,9.325,39.0,160.51,Moderately Polluted
3556,64.71,168.44,22.46,21.18,39.05,0.88,12.26,26.475,28.075,115.69999999999997,188.44,12.26,9.7625,44.0,188.44,Moderately Polluted
3557,59.29,165.77,25.99,11.56,45.24,0.86,13.01,14.450000000000001,32.4875,98.81666666666666,185.77,13.01,11.31,43.0,185.77,Moderately Polluted
3558,43.6,111.25,18.45,7.48,46.6,0.7,11.43,9.350000000000001,23.0625,72.66666666666667,131.25,11.43,11.65,35.0,131.25,Moderately Polluted
